exp_id,avg_err_dist[m],avg_err_dist[px],avg_direct_err_dist[m],accuracy,existing_rate,st_dt,ed_dt,mac,floor,st_node,ed_node,via_dts_list,via_nodes_list,match_rate,adjacent_rate,middle_rate,wrong_node_rate
170127_001,1.85,14.11,2.83,99.17,100,2017-01-27T17:48:00.000Z,2017-01-27T17:58:00.000Z,00:11:81:10:01:3f,W2-6F,5,5,[],[],66.67,32.5,0,0.83
170127_002,0.25,1.88,0.39,100,100,2017-01-27T17:48:00.000Z,2017-01-27T17:58:00.000Z,00:11:81:10:01:41,W2-6F,5,5,[],[],95,5,0,0
170127_003,1.22,9.33,1.91,98.33,100,2017-01-27T17:48:00.000Z,2017-01-27T17:58:00.000Z,00:11:81:10:01:43,W2-6F,7,7,[],[],88.33,10,0,1.67
170127_004,0.46,3.55,0.74,100,100,2017-01-27T17:48:00.000Z,2017-01-27T17:58:00.000Z,00:11:81:10:01:45,W2-6F,7,7,[],[],95,5,0,0
170127_005,0.61,4.63,0.88,96.67,100,2017-01-27T17:46:00.000Z,2017-01-27T17:56:00.000Z,00:11:81:10:01:46,W2-6F,16,16,[],[],92.5,4.17,0,3.33
170127_006,0.5,3.83,0.78,100,100,2017-01-27T17:46:00.000Z,2017-01-27T17:56:00.000Z,00:11:81:10:01:4a,W2-6F,16,16,[],[],91.67,8.33,0,0
170127_007,5.23,39.96,8,86.67,100,2017-01-27T17:46:00.000Z,2017-01-27T17:56:00.000Z,00:11:81:10:01:48,W2-6F,20,19,[],[],0,0,86.67,13.33
170127_008,6.54,49.95,9.61,84.17,100,2017-01-27T17:46:00.000Z,2017-01-27T17:56:00.000Z,00:11:81:10:01:47,W2-6F,20,19,[],[],0,0,84.17,15.83
170127_009,4.97,37.95,6.71,85.71,100,2017-01-27T17:49:00.000Z,2017-01-27T17:50:10.000Z,00:11:81:10:01:1b,W2-6F,13,21,"[ { ""$date"" : ""2017-01-28T02:49:12.000+0900"" }, { ""$date"" : ""2017-01-28T02:49:29.000+0900"" }, { ""$date"" : ""2017-01-28T02:49:58.000+0900"" } ]","[ 12, 16, 20 ]",7.14,0,78.57,14.29
170127_010,6.05,46.19,7.57,78.57,100,2017-01-27T17:49:00.000Z,2017-01-27T17:50:10.000Z,00:11:81:10:01:00,W2-6F,13,21,"[ { ""$date"" : ""2017-01-28T02:49:12.000+0900"" }, { ""$date"" : ""2017-01-28T02:49:29.000+0900"" }, { ""$date"" : ""2017-01-28T02:49:58.000+0900"" } ]","[ 12, 16, 20 ]",7.14,0,71.43,21.43
